date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:58	34176/34176	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac6-8580%22	https://kai.id/static/annual-report/annual_report_2014.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2014.jpg	(from https://kai.id/information/document)
13:22:03	39281/39281	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac5-9971%22	https://kai.id/static/annual-report/annual_report_2013.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2013.jpg	(from https://kai.id/information/document)
13:23:28	10029035/10029035	---M--	200	added ('OK')	application/pdf	etag:%225a139098-9907eb%22	https://kai.id/static/annual-report/annual_report_2016.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2016.pdf	(from https://kai.id/information/document)
13:23:29	28723/28723	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac5-7033%22	https://kai.id/static/annual-report/annual_report_2012.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2012.jpg	(from https://kai.id/information/document)
13:24:26	13867720/13867720	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac6-d39ac8%22	https://kai.id/static/annual-report/annual_report_2014.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2014.pdf	(from https://kai.id/information/document)
13:24:27	17999/17999	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac5-464f%22	https://kai.id/static/annual-report/annual_report_2011.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2011.jpg	(from https://kai.id/information/document)
13:25:21	61968/61968	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac5-f210%22	https://kai.id/static/annual-report/annual_report_2010.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2010.jpg	(from https://kai.id/information/document)
13:25:38	23146725/23146725	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac6-16130e5%22	https://kai.id/static/annual-report/annual_report_2015.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2015.pdf	(from https://kai.id/information/document)
13:25:40	96211/96211	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac5-177d3%22	https://kai.id/static/annual-report/annual_report_2009.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2009.jpg	(from https://kai.id/information/document)
13:26:10	7373526/7373526	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac5-7082d6%22	https://kai.id/static/annual-report/annual_report_2011.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2011.pdf	(from https://kai.id/information/document)
13:26:12	58950/58950	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac5-e646%22	https://kai.id/static/annual-report/annual_report_2008.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2008.jpg	(from https://kai.id/information/document)
13:28:21	11247414/11247414	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac5-ab9f36%22	https://kai.id/static/annual-report/annual_report_2010.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2010.pdf	(from https://kai.id/information/document)
13:28:22	10425713/10425713	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac5-9f1571%22	https://kai.id/static/annual-report/annual_report_2009.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2009.pdf	(from https://kai.id/information/document)
13:28:22	26620/26620	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac9-67fc%22	https://kai.id/static/sustainability-report/sustainability_report_2015.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/sustainability-report/sustainability_report_2015.jpg	(from https://kai.id/information/document)
13:28:24	83572/83572	---M--	200	added ('OK')	image/jpeg	etag:%22592e7ac9-14674%22	https://kai.id/static/sustainability-report/sustainability_report_2014.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/sustainability-report/sustainability_report_2014.jpg	(from https://kai.id/information/document)
13:28:48	9828481/9828481	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac5-95f881%22	https://kai.id/static/annual-report/annual_report_2008.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2008.pdf	(from https://kai.id/information/document)
13:28:50	44360/44360	---M--	200	added ('OK')	image/jpeg	etag:%225abc99b4-ad48%22	https://kai.id/static/majalah-rel/on_track_april_2018.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/on_track_april_2018.jpg	(from https://kai.id/information/document)
13:28:56	36409124/36409124	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac6-22b8f24%22	https://kai.id/static/annual-report/annual_report_2013.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/annual-report/annual_report_2013.pdf	(from https://kai.id/information/document)
13:28:58	43906/43906	---M--	200	added ('OK')	image/jpeg	etag:%225abc997f-ab82%22	https://kai.id/static/majalah-rel/on_track_maret_2018.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/on_track_maret_2018.jpg	(from https://kai.id/information/document)
13:29:40	9202423/9202423	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac9-8c6af7%22	https://kai.id/static/sustainability-report/sustainability_report_2015.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/sustainability-report/sustainability_report_2015.pdf	(from https://kai.id/information/document)
13:29:40	10286802/10286802	---M--	200	added ('OK')	application/pdf	etag:%22592e7ac9-9cf6d2%22	https://kai.id/static/sustainability-report/sustainability_report_2014.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/sustainability-report/sustainability_report_2014.pdf	(from https://kai.id/information/document)
13:29:40	47767/47767	---M--	200	added ('OK')	image/jpeg	etag:%225a5d7dd7-ba97%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_6_2017.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_6_2017.jpg	(from https://kai.id/information/document)
13:29:41	46287/46287	---M--	200	added ('OK')	image/jpeg	etag:%225a139325-b4cf%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_5_2017.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_5_2017.jpg	(from https://kai.id/information/document)
13:30:09	8173958/8173958	---M--	200	added ('OK')	application/pdf	etag:%225abc9980-7cb986%22	https://kai.id/static/majalah-rel/on_track_maret_2018.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/on_track_maret_2018.pdf	(from https://kai.id/information/document)
13:30:11	30689/30689	---M--	200	added ('OK')	image/jpeg	etag:%2259cb8e9c-77e1%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_4_2017.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_4_2017.jpg	(from https://kai.id/information/document)
13:30:40	14130968/14130968	---M--	200	added ('OK')	application/pdf	etag:%225abc99b5-d79f18%22	https://kai.id/static/majalah-rel/on_track_april_2018.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/on_track_april_2018.pdf	(from https://kai.id/information/document)
13:30:41	28771/28771	---M--	200	added ('OK')	image/jpeg	etag:%2259cb8e7f-7063%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_3_2017.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_3_2017.jpg	(from https://kai.id/information/document)
13:32:45	22898702/22898702	---M--	200	added ('OK')	application/pdf	etag:%225a139328-15d680e%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_5_2017.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_5_2017.pdf	(from https://kai.id/information/document)
